Text,Language
How are you doing today?,English
The weather is lovely outside.,English
Data science and machine learning are exciting fields.,English
Learning Python is very useful and fun.,English
آپ کا نام کیا ہے؟,Urdu
میں روزانہ ورزش کرتا ہوں۔,Urdu
پاکستان ایک خوبصورت ملک ہے۔,Urdu
آج موسم بہت اچھا ہے۔,Urdu
¿Cómo estás hoy?,Spanish
El clima está muy lindo afuera.,Spanish
La ciencia de datos es un campo emocionante.,Spanish
Aprender Python es muy útil y divertido.,Spanish
Comment allez-vous aujourd'hui?,French
Le temps est magnifique dehors.,French
La science des données est un domaine passionnant.,French
Apprendre Python es très utile et amusant.,French
Wie geht es dir heute?,German
Das Wetter draußen ist wunderschön.,German
Datenwissenschaft ist ein spannendes Feld.,German
Python zu lernen ist sehr nützlich und macht Spaß.,German
