text_id,category,raw_text,processed_lemmatized,processed_stemmed
1,Tech,I am LOVING the new AI tools!!! They are running amazingly well. ,"['love', 'new', 'ai', 'tool', 'run', 'amazingly', 'well']","['love', 'new', 'ai', 'tool', 'run', 'amazingli', 'well']"
2,Tech,The 2026 computational models are working 10x faster than yesterday! Check https://openai.com,"['computational', 'model', 'work', 'x', 'faster', 'yesterday', 'check', 'httpsopenaicom']","['comput', 'model', 'work', 'x', 'faster', 'yesterday', 'check', 'httpsopenaicom']"
3,Education,Data science requires CLEAN data... text preprocessing is incredibly crucial.,"['data', 'science', 'requires', 'clean', 'data', 'text', 'preprocessing', 'incredibly', 'crucial']","['data', 'scienc', 'requir', 'clean', 'data', 'text', 'preprocess', 'incred', 'crucial']"
4,Education,Are you studying NLP? I studied it last night and enjoyed it so much. ,"['study', 'nlp', 'study', 'last', 'night', 'enjoy', 'much']","['studi', 'nlp', 'studi', 'last', 'night', 'enjoy', 'much']"
5,Misc,     This sentence has WAY too many spaces     and messy text...!!,"['sentence', 'way', 'many', 'space', 'messy', 'text']","['sentenc', 'way', 'mani', 'space', 'messi', 'text']"
6,Tech,Artificial Intelligence & Machine Learning will reshape the future of coding! #AI #ML,"['artificial', 'intelligence', 'machine', 'learn', 'reshape', 'future', 'cod', 'ai', 'ml']","['artifici', 'intellig', 'machin', 'learn', 'reshap', 'futur', 'code', 'ai', 'ml']"
7,Support,Hello?? Is anyone there? My login ID is user_99 and I can't access my account!!,"['hello', 'anyone', 'login', 'id', 'user', 'cant', 'access', 'account']","['hello', 'anyon', 'login', 'id', 'user', 'cant', 'access', 'account']"
8,Support,Please contact support@company.com for issues regarding your subscription renewal.,"['please', 'contact', 'supportcompanycom', 'issue', 'regard', 'subscription', 'renewal']","['pleas', 'contact', 'supportcompanycom', 'issu', 'regard', 'subscript', 'renew']"
9,Finance,"The stock market dropped by 2.5% this morning, causing investors to panic.","['stock', 'market', 'drop', 'morning', 'cause', 'investor', 'panic']","['stock', 'market', 'drop', 'morn', 'caus', 'investor', 'panic']"
10,Finance,Bitcoin and other cryptocurrencies are seeing massive gains this week!! $BTC,"['bitcoin', 'cryptocurrencies', 'see', 'massive', 'gain', 'week', 'btc']","['bitcoin', 'cryptocurr', 'see', 'massiv', 'gain', 'week', 'btc']"
11,Entertainment,The new movie was absolutely fantastic! The actors did a wonderful job. ,"['new', 'movie', 'absolutely', 'fantastic', 'actor', 'wonderful', 'job']","['new', 'movi', 'absolut', 'fantast', 'actor', 'wonder', 'job']"
12,Entertainment,I hated the sequel... it was the worst film I have seen in years. 0/10 rating.,"['hat', 'sequel', 'worst', 'film', 'seen', 'year', 'rat']","['hate', 'sequel', 'worst', 'film', 'seen', 'year', 'rate']"
13,Weather,It is raining cats and dogs outside!  I hope it gets better by tomorrow.,"['rain', 'cat', 'dog', 'outside', 'hope', 'get', 'better', 'tomorrow']","['rain', 'cat', 'dog', 'outsid', 'hope', 'get', 'better', 'tomorrow']"
14,Weather,The temperature is hitting 40°C today. It's way too hot to go for a run.,"['temperature', 'hit', 'c', 'today', 'way', 'hot', 'go', 'run']","['temperatur', 'hit', 'c', 'today', 'way', 'hot', 'go', 'run']"
15,Misc,"Cats are smaller than lions, but they are both part of the feline family.","['cat', 'smaller', 'lion', 'part', 'feline', 'family']","['cat', 'smaller', 'lion', 'part', 'felin', 'famili']"
16,Education,Learning Python is easier when you practice writing code every single day.,"['learn', 'python', 'easier', 'practice', 'write', 'code', 'every', 'single', 'day']","['learn', 'python', 'easier', 'practic', 'write', 'code', 'everi', 'singl', 'day']"
17,Tech,<p>HTML tags are often found in web scraping data.</p> This needs to be cleaned!,"['html', 'tag', 'often', 'found', 'web', 'scrap', 'data', 'need', 'clean']","['html', 'tag', 'often', 'found', 'web', 'scrape', 'data', 'need', 'clean']"
18,Support,CANCEL MY ORDER IMMEDIATELY!!! Order number: #45892. Thank you.,"['cancel', 'order', 'immediately', 'order', 'number', 'thank']","['cancel', 'order', 'immedi', 'order', 'number', 'thank']"
19,Finance,I need to build a budget plan. Saving money is better than spending it blindly.,"['need', 'build', 'budget', 'plan', 'save', 'money', 'better', 'spend', 'blindly']","['need', 'build', 'budget', 'plan', 'save', 'money', 'better', 'spend', 'blindli']"
20,Misc,The quick brown fox jumps over the lazy dog... old but classic sentence.,"['quick', 'brown', 'fox', 'jump', 'lazy', 'dog', 'old', 'classic', 'sentence']","['quick', 'brown', 'fox', 'jump', 'lazi', 'dog', 'old', 'classic', 'sentenc']"
