text_id,category,raw_text
1,Tech,"I am LOVING the new AI tools!!! They are running amazingly well. "
2,Tech,"The 2026 computational models are working 10x faster than yesterday! Check https://openai.com"
3,Education,"Data science requires CLEAN data... text preprocessing is incredibly crucial."
4,Education,"Are you studying NLP? I studied it last night and enjoyed it so much. "
5,Misc,"     This sentence has WAY too many spaces     and messy text...!!"
6,Tech,"Artificial Intelligence & Machine Learning will reshape the future of coding! #AI #ML"
7,Support,"Hello?? Is anyone there? My login ID is user_99 and I can't access my account!!"
8,Support,"Please contact support@company.com for issues regarding your subscription renewal."
9,Finance,"The stock market dropped by 2.5% this morning, causing investors to panic."
10,Finance,"Bitcoin and other cryptocurrencies are seeing massive gains this week!! $BTC"
11,Entertainment,"The new movie was absolutely fantastic! The actors did a wonderful job. "
12,Entertainment,"I hated the sequel... it was the worst film I have seen in years. 0/10 rating."
13,Weather,"It is raining cats and dogs outside!  I hope it gets better by tomorrow."
14,Weather,"The temperature is hitting 40°C today. It's way too hot to go for a run."
15,Misc,"Cats are smaller than lions, but they are both part of the feline family."
16,Education,"Learning Python is easier when you practice writing code every single day."
17,Tech,"<p>HTML tags are often found in web scraping data.</p> This needs to be cleaned!"
18,Support,"CANCEL MY ORDER IMMEDIATELY!!! Order number: #45892. Thank you."
19,Finance,"I need to build a budget plan. Saving money is better than spending it blindly."
20,Misc,"The quick brown fox jumps over the lazy dog... old but classic sentence."
